# Μορφή: H|sortkey|ετικέτα|τίτλος|περιγραφή
# sortkey: μεγαλύτερο = νεότερο (1000 π.Χ. = -999)
H|-999|1000 π.Χ.|Όριο προϊστορίας|Η χρονολογία 1000 π.Χ. σηματοδοτεί συμβατικά το τέλος της ευρύτερης προϊστορίας για την Ελλάδα: αλφάβητο, επώνυμοι άρχοντες και γραπτές πηγές αντικαθιστούν σταδιακά την αποκλειστική εξάρτηση από την αρχαιομετρία.
H|-1049|~1050 π.Χ.|Ύστερος χαλκός: κρίση πριν την κατάρρευση|Οι μυκηναϊκοί οικισμοί σε φάση έντασης πριν την κατάρρευση των παλατιών· η κεραμεική και τα δίκτυα ανταλλαγής δείχνουν συνέχεια αλλά και πίεση στο Αιγαίο.
H|-1099|~1100 π.Χ.|Μυκήνες και Τίρυνθα στην ακμή|Κυκλώπεια τείχη και ανακτορικές οικονομίες οργανώνουν αποθήκευση, Linear B και επαφές με την Ανατολική Μεσόγειο.
H|-1149|~1150 π.Χ.|Μυκηναϊκή Κρήτη|Η μυκηναϊκή παρουσία ενσωματώνει μινωικά εργαστήρια· η γραμμική Β καταγράφει ελληνική γλώσσα στη διοίκηση.
H|-1199|~1200 π.Χ.|Τροία VIIa και αιγαιακά δίκτυα|Η αρχαιολογική Τροία και οι συγκρούσεις μικρασιατικών και αιγαιακών δικτύων δίνουν υλικό υπόβαθρο σε επική μνήμη.
H|-1249|~1250 π.Χ.|Θαλάσσιοι λαοί|Επιδρομές και μετακινήσεις κατά μήκος της Μεσογείου διαταράσσουν ανακτορικά συστήματα από την Κρήτη ως τη Λεβάντα.
H|-1299|~1300 π.Χ.|Ύστερο μινωικό και μυκηναϊκή επέκταση|Η Κρήτη διατηρεί λιμάνια ενώ οι μυκηναϊκοί Έλληνες ενισχύουν την παρουσία τους· η Linear B εξαπλώνεται.
H|-1349|~1350 π.Χ.|Κυκλάδες και μινωική σφαίρα επιρροής|Τα νησιά ενσωματώνονται σε δίκτυα με κέντρο την Κρήτη· ανταλλαγή μετάλλου και κεραμικής.
H|-1399|~1400 π.Χ.|Ανακατασκευή στην Κνωσό|Η ανοικοδόμηση μετά καταστροφές δείχνει ανθεκτικότητα μινωικών θεσμών και τεχνογνωσίας σε αποθήκευση και τελετουργία.
H|-1449|~1450 π.Χ.|Έκρηξη στη Θήρα (Σαντορίνη)|Η ηφαιστειακή καταστροφή του 16ου αι. π.Χ. αλλάζει το νότιο Αιγαίο· συζητούνται ακόμη κλιματικές και ναυτιλιακές επιπτώσεις.
H|-1499|~1500 π.Χ.|Αίγυπτος: μέσο βασίλειο|Η οργάνωση της κοιλάδας του Νείλου και τα ορυχεία του Σινά συνδέουν την Ανατολική Μεσόγειο σε δίκτυα χαλκού.
H|-1549|~1550 π.Χ.|Μέση μινωική ακμή|Τα ανάκτορα οργανώνουν μεταλλουργία και αποθήκευση· η ναυτιλία κυριαρχεί στην εικονογραφία.
H|-1599|~1600 π.Χ.|Παλαιό ανάκτορο Φαιστού|Η Κρήτη αναπτύσσει αποθηκευτικούς χώρους και σύμβολα διοίκησης πριν την πλήρη Linear A.
H|-1649|~1650 π.Χ.|Πρώιμη μινωική Κρήτη|Ενσωμάτωση τεχνικών από Ανατολία και Αίγυπτο· ανάκτορα, ιερά και εργαστήρια.
H|-1699|~1700 π.Χ.|Κυκλαδική ακμή|Μαρμάρινα ειδώλια και δίκτυα οψιανού· το Αιγαίο ως ενιαίο πεδίο ανταλλαγών.
H|-1749|~1750 π.Χ.|Πρώιμος χαλκός στο Αιγαίο|Κράματα και χύτευση αλλάζουν όπλα και εργαλεία· η ηπειρωτική Ελλάδα και οι Κυκλάδες σε δίκτυα πρώτης ύλης.
H|-1799|~1800 π.Χ.|Κρήτη: προανακτορικοί οικισμοί|Λιμάνια και εργαστήρια προετοιμάζουν το μινωικό πολιτισμό.
H|-1849|~1850 π.Χ.|Διμήνι (Θεσσαλία)|Οργανωμένο χωροταξικό σχέδιο νεολιθικού οικισμού· σύνδεση με βαλκανικά δίκτυα.
H|-1899|~1900 π.Χ.|Σέσκλο|Μεγάλος νεολιθικός οικισμός· γεωργία, υφαντική και κοινωνική διαστρωμάτωση.
H|-1949|~1950 π.Χ.|Φράγχthi: νεολιθική αλληλουχία|Το σπήλαιο καταγράφει μετάβαση σε καλλιέργειες· κλειδί για τη νεολιθική επανάσταση στο Αιγαίο.
